,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
37919,87919,5,18,219,4,221,0
37920,87920,1,20,587,0,587,0
37921,87921,5,151,51,115,63,97
37922,87922,5,8,8,0,8,0
37923,87923,2,147,379,55,373,38
37924,87924,2,46,406,5,411,4
37925,87925,4,117,447,96,437,71
37926,87926,4,97,422,68,440,46
37927,87927,3,89,459,32,460,25
37928,87928,4,20,601,10,601,10
37929,87929,2,145,376,55,379,45
37930,87930,3,17,592,2,592,2
37931,87931,1,6,6,0,6,0
37932,87932,3,92,462,41,464,31
37933,87933,4,138,413,115,401,98
37934,87934,1,19,583,0,583,0
37935,87935,2,154,362,77,367,46
