,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
49529,99529,3,169,359,149,371,98
49530,99530,3,134,392,109,389,52
49531,99531,1,162,355,24,358,22
49532,99532,1,149,359,17,360,14
49533,99533,1,128,400,17,397,12
49534,99534,1,116,387,9,388,7
49535,99535,3,56,515,16,517,12
49536,99536,2,139,383,76,381,45
49537,99537,5,146,84,149,69,94
49538,99538,4,42,532,34,545,11
49539,99539,4,140,420,134,425,83
49540,99540,1,33,544,0,553,0
49541,99541,3,149,376,125,379,78
49542,99542,5,147,76,124,67,93
49543,99543,5,3,492,3,0,3
49544,99544,3,45,533,18,509,12
49545,99545,1,22,567,0,571,0
49546,99546,2,90,444,31,442,18
49547,99547,4,143,418,119,434,77
49548,99548,5,120,77,109,70,77
49549,99549,2,47,361,11,359,7
49550,99550,5,24,220,18,219,10
49551,99551,1,93,443,7,438,6
49552,99552,1,7,574,3,608,0
49553,99553,1,163,353,27,350,20
49554,99554,3,12,574,7,604,4
49555,99555,4,110,435,113,459,67
49556,99556,4,178,387,152,397,107
49557,99557,2,43,506,9,502,2
49558,99558,2,42,513,8,513,6
49559,99559,3,4,574,4,4,0
49560,99560,3,120,427,70,430,48
49561,99561,5,150,78,125,72,86
49562,99562,3,117,425,79,425,53
49563,99563,4,3,574,11,3,0
49564,99564,3,141,380,110,391,77
49565,99565,2,31,439,12,434,3
49566,99566,4,124,417,103,438,65
49567,99567,5,148,85,144,78,105
49568,99568,4,36,560,21,552,14
49569,99569,1,21,574,1,591,1
49570,99570,2,127,397,60,396,34
49571,99571,3,74,456,70,466,29
49572,99572,2,9,118,0,128,0
49573,99573,4,127,431,112,453,64
49574,99574,1,125,381,11,380,9
49575,99575,2,139,377,58,375,40
49576,99576,5,103,57,87,63,60
49577,99577,3,129,406,85,414,49
49578,99578,5,20,173,21,173,12
49579,99579,1,47,511,3,515,1
49580,99580,2,9,210,0,9,0
49581,99581,3,167,361,130,364,91
49582,99582,2,109,424,28,418,17
49583,99583,5,83,60,69,56,59
49584,99584,4,5,574,10,601,2
49585,99585,1,143,356,14,356,10
49586,99586,4,18,574,14,602,6
49587,99587,3,137,397,99,398,64
49588,99588,5,139,86,143,64,95
49589,99589,5,33,53,26,47,17
49590,99590,4,104,431,117,448,61
